IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
34.118.112.88	443	TRUE	FRA	Europe	Frankfurt	262 ms	1593 kB/s
144.24.240.193	8443	TRUE	MXP	Europe	Milan	266 ms	1343 kB/s
34.116.131.175	443	TRUE	FRA	Europe	Frankfurt	255 ms	1293 kB/s
138.3.254.39	443	TRUE	FRA	Europe	Frankfurt	273 ms	1273 kB/s
144.21.54.98	443	TRUE	FRA	Europe	Frankfurt	277 ms	1236 kB/s
144.24.179.222	443	TRUE	FRA	Europe	Frankfurt	261 ms	1190 kB/s
150.230.114.98	443	TRUE	FRA	Europe	Frankfurt	254 ms	1183 kB/s
158.101.15.48	443	TRUE	LAX	North America	Los Angeles	247 ms	1180 kB/s
34.116.231.238	443	TRUE	FRA	Europe	Frankfurt	283 ms	1177 kB/s
34.116.155.156	443	TRUE	FRA	Europe	Frankfurt	253 ms	1166 kB/s
140.238.158.238	8080	TRUE	YYZ	North America	Toronto	247 ms	1094 kB/s
34.89.233.207	443	TRUE	FRA	Europe	Frankfurt	248 ms	1014 kB/s
34.116.249.207	443	TRUE	FRA	Europe	Frankfurt	257 ms	876 kB/s
34.118.109.211	443	TRUE	FRA	Europe	Frankfurt	297 ms	867 kB/s
34.118.47.106	443	TRUE	FRA	Europe	Frankfurt	265 ms	862 kB/s
130.61.203.115	8443	TRUE	FRA	Europe	Frankfurt	256 ms	828 kB/s
34.116.212.98	443	TRUE	FRA	Europe	Frankfurt	269 ms	799 kB/s
129.151.205.193	443	TRUE	ARN	Europe	Stockholm	287 ms	790 kB/s
130.61.203.115	2053	TRUE	FRA	Europe	Frankfurt	254 ms	787 kB/s
129.159.84.71	443	TRUE	IAD	North America	Ashburn	250 ms	713 kB/s
150.230.119.188	443	TRUE	FRA	Europe	Frankfurt	272 ms	661 kB/s
34.107.1.24	443	TRUE	FRA	Europe	Frankfurt	252 ms	512 kB/s
158.178.206.197	2053	TRUE	CDG	Europe	Paris	262 ms	454 kB/s
129.146.248.140	443	TRUE	LAX	North America	Los Angeles	256 ms	435 kB/s
34.118.30.198	443	TRUE	FRA	Europe	Frankfurt	256 ms	422 kB/s
144.24.173.250	2096	TRUE	FRA	Europe	Frankfurt	250 ms	393 kB/s
144.21.51.110	443	TRUE	LHR	Europe	London	237 ms	342 kB/s
34.118.93.116	443	TRUE	FRA	Europe	Frankfurt	262 ms	224 kB/s
141.147.61.116	2053	TRUE	FRA	Europe	Frankfurt	270 ms	220 kB/s
144.24.169.81	2053	TRUE	FRA	Europe	Frankfurt	250 ms	208 kB/s
144.24.169.81	8443	TRUE	FRA	Europe	Frankfurt	258 ms	198 kB/s
141.148.225.142	443	TRUE	AMS	Europe	Amsterdam	272 ms	173 kB/s
144.24.173.250	8443	TRUE	FRA	Europe	Frankfurt	255 ms	153 kB/s
130.61.107.238	8443	TRUE	FRA	Europe	Frankfurt	254 ms	144 kB/s
141.144.232.159	443	TRUE	FRA	Europe	Frankfurt	267 ms	134 kB/s
158.101.215.45	8443	TRUE	AMS	Europe	Amsterdam	293 ms	131 kB/s
158.101.175.51	8443	TRUE	FRA	Europe	Frankfurt	276 ms	118 kB/s
193.123.81.105	443	TRUE	DXB	Middle East	Dubai	191 ms	108 kB/s
158.101.169.13	2053	TRUE	FRA	Europe	Frankfurt	271 ms	105 kB/s
130.61.109.6	2096	TRUE	FRA	Europe	Frankfurt	255 ms	102 kB/s
34.163.89.60	2053	TRUE	CDG	Europe	Paris	409 ms	96 kB/s
141.147.61.116	8443	TRUE	FRA	Europe	Frankfurt	271 ms	89 kB/s
158.178.129.114	2053	TRUE	TLV	Middle East	Tel Aviv	267 ms	86 kB/s
130.61.239.203	443	TRUE	FRA	Europe	Frankfurt	267 ms	83 kB/s
150.230.20.156	2053	TRUE	AMS	Europe	Amsterdam	286 ms	70 kB/s
130.61.23.77	443	TRUE	FRA	Europe	Frankfurt	278 ms	70 kB/s
129.159.197.137	8443	TRUE	FRA	Europe	Frankfurt	268 ms	67 kB/s
158.101.175.51	2053	TRUE	FRA	Europe	Frankfurt	265 ms	64 kB/s
141.144.253.109	443	TRUE	FRA	Europe	Frankfurt	259 ms	64 kB/s
144.24.173.250	2053	TRUE	FRA	Europe	Frankfurt	250 ms	64 kB/s
158.178.129.114	8443	TRUE	TLV	Middle East	Tel Aviv	264 ms	57 kB/s
130.61.109.6	2053	TRUE	FRA	Europe	Frankfurt	258 ms	41 kB/s
130.61.109.6	8443	TRUE	FRA	Europe	Frankfurt	259 ms	41 kB/s
150.230.20.156	8443	TRUE	AMS	Europe	Amsterdam	259 ms	33 kB/s
84.235.169.234	443	TRUE	AMS	Europe	Amsterdam	272 ms	25 kB/s
143.47.246.190	443	TRUE	FRA	Europe	Frankfurt	269 ms	0 kB/s
144.24.161.142	8443	TRUE	FRA	Europe	Frankfurt	266 ms	0 kB/s
146.56.46.84	443	TRUE	NRT	Asia Pacific	Tokyo	92 ms	0 kB/s
130.162.140.215	443	TRUE	NRT	Asia Pacific	Tokyo	91 ms	0 kB/s
141.148.229.106	443	TRUE	AMS	Europe	Amsterdam	273 ms	0 kB/s
146.56.157.97	443	TRUE	NRT	Asia Pacific	Tokyo	93 ms	0 kB/s
152.70.117.136	443	TRUE	SJC	North America	San Jose	186 ms	0 kB/s
132.226.213.28	443	TRUE	LHR	Europe	London	253 ms	0 kB/s
158.101.24.17	443	TRUE	LAX	North America	Los Angeles	248 ms	0 kB/s
192.18.134.22	443	TRUE	SJC	North America	San Jose	192 ms	0 kB/s
192.9.158.62	443	TRUE	SJC	North America	San Jose	175 ms	0 kB/s
152.70.53.113	443	TRUE	FRA	Europe	Frankfurt	263 ms	0 kB/s
129.146.240.62	443	TRUE	LAX	North America	Los Angeles	261 ms	0 kB/s
129.154.50.159	443	TRUE	ICN	Asia Pacific	Seoul	140 ms	0 kB/s
192.18.148.248	443	TRUE	YYZ	North America	Toronto	397 ms	0 kB/s
129.153.119.97	443	TRUE	LAX	North America	Los Angeles	254 ms	0 kB/s
34.116.224.156	443	TRUE	FRA	Europe	Frankfurt	262 ms	0 kB/s
35.201.203.106	443	TRUE	TPE	Asia Pacific	Taipei	152 ms	13536 kB/s
34.159.84.211	443	TRUE	FRA	Europe	Frankfurt	241 ms	7182 kB/s
34.147.28.91	443	TRUE	FRA	Europe	Frankfurt	271 ms	7141 kB/s
34.159.28.199	443	TRUE	FRA	Europe	Frankfurt	245 ms	6708 kB/s
34.32.146.80	443	TRUE	FRA	Europe	Frankfurt	241 ms	6573 kB/s
34.154.148.158	443	TRUE	FRA	Europe	Frankfurt	246 ms	6501 kB/s
34.141.39.182	443	TRUE	FRA	Europe	Frankfurt	250 ms	6407 kB/s
34.141.231.162	443	TRUE	FRA	Europe	Frankfurt	247 ms	6385 kB/s
34.65.235.106	443	TRUE	FRA	Europe	Frankfurt	250 ms	6280 kB/s
34.118.41.105	443	TRUE	FRA	Europe	Frankfurt	249 ms	6237 kB/s
34.65.45.164	443	TRUE	FRA	Europe	Frankfurt	232 ms	6199 kB/s
34.154.150.141	443	TRUE	FRA	Europe	Frankfurt	238 ms	6140 kB/s
34.89.215.49	443	TRUE	FRA	Europe	Frankfurt	249 ms	6082 kB/s
34.154.95.104	443	TRUE	FRA	Europe	Frankfurt	251 ms	6069 kB/s
35.198.85.198	443	TRUE	FRA	Europe	Frankfurt	233 ms	6041 kB/s
34.65.108.37	443	TRUE	FRA	Europe	Frankfurt	246 ms	6006 kB/s
34.107.64.17	443	TRUE	FRA	Europe	Frankfurt	248 ms	5924 kB/s
34.118.6.115	443	TRUE	FRA	Europe	Frankfurt	273 ms	5820 kB/s
34.116.177.76	443	TRUE	FRA	Europe	Frankfurt	264 ms	5816 kB/s
34.159.215.161	443	TRUE	FRA	Europe	Frankfurt	250 ms	5702 kB/s
34.118.78.11	443	TRUE	FRA	Europe	Frankfurt	284 ms	5700 kB/s
34.116.238.49	443	TRUE	FRA	Europe	Frankfurt	262 ms	5629 kB/s
34.90.66.225	443	TRUE	FRA	Europe	Frankfurt	263 ms	5621 kB/s
34.154.240.154	443	TRUE	FRA	Europe	Frankfurt	237 ms	5608 kB/s
34.118.49.115	443	TRUE	FRA	Europe	Frankfurt	272 ms	5586 kB/s
34.65.203.182	443	TRUE	FRA	Europe	Frankfurt	250 ms	5584 kB/s
34.154.189.245	443	TRUE	FRA	Europe	Frankfurt	247 ms	5541 kB/s
34.154.71.140	443	TRUE	FRA	Europe	Frankfurt	265 ms	5524 kB/s
34.154.169.134	443	TRUE	FRA	Europe	Frankfurt	246 ms	5521 kB/s
34.65.203.70	443	TRUE	FRA	Europe	Frankfurt	240 ms	5469 kB/s
34.90.77.227	443	TRUE	FRA	Europe	Frankfurt	252 ms	5412 kB/s
34.118.0.250	443	TRUE	FRA	Europe	Frankfurt	279 ms	5322 kB/s
35.204.28.176	443	TRUE	FRA	Europe	Frankfurt	246 ms	5293 kB/s
34.116.224.223	443	TRUE	FRA	Europe	Frankfurt	256 ms	5281 kB/s
34.116.134.144	443	TRUE	FRA	Europe	Frankfurt	267 ms	5271 kB/s
34.90.42.149	443	TRUE	FRA	Europe	Frankfurt	242 ms	5256 kB/s
34.154.175.185	443	TRUE	FRA	Europe	Frankfurt	247 ms	5186 kB/s
35.198.90.88	443	TRUE	FRA	Europe	Frankfurt	244 ms	5154 kB/s
34.90.189.36	443	TRUE	FRA	Europe	Frankfurt	258 ms	4974 kB/s
34.89.206.136	443	TRUE	FRA	Europe	Frankfurt	236 ms	4968 kB/s
34.116.129.250	443	TRUE	FRA	Europe	Frankfurt	266 ms	4953 kB/s
34.91.45.105	443	TRUE	FRA	Europe	Frankfurt	251 ms	4891 kB/s
34.118.12.209	443	TRUE	FRA	Europe	Frankfurt	270 ms	4799 kB/s
34.116.202.71	443	TRUE	FRA	Europe	Frankfurt	265 ms	4771 kB/s
34.116.241.42	443	TRUE	FRA	Europe	Frankfurt	267 ms	4751 kB/s
34.89.209.134	443	TRUE	FRA	Europe	Frankfurt	245 ms	4738 kB/s
34.154.13.73	443	TRUE	FRA	Europe	Frankfurt	243 ms	4680 kB/s
35.234.92.225	443	TRUE	FRA	Europe	Frankfurt	240 ms	4666 kB/s
34.116.255.233	443	TRUE	FRA	Europe	Frankfurt	256 ms	4578 kB/s
34.118.23.155	443	TRUE	FRA	Europe	Frankfurt	258 ms	4554 kB/s
34.118.107.128	443	TRUE	FRA	Europe	Frankfurt	287 ms	4444 kB/s
34.116.157.41	443	TRUE	FRA	Europe	Frankfurt	264 ms	4408 kB/s
34.116.239.30	443	TRUE	FRA	Europe	Frankfurt	251 ms	4223 kB/s
34.118.57.162	443	TRUE	FRA	Europe	Frankfurt	266 ms	4192 kB/s
34.118.56.112	443	TRUE	FRA	Europe	Frankfurt	257 ms	4156 kB/s
34.116.242.142	443	TRUE	FRA	Europe	Frankfurt	264 ms	4108 kB/s
34.118.105.92	443	TRUE	FRA	Europe	Frankfurt	252 ms	4009 kB/s
34.159.196.195	443	TRUE	FRA	Europe	Frankfurt	250 ms	3790 kB/s
34.34.7.204	443	TRUE	FRA	Europe	Frankfurt	252 ms	3686 kB/s
34.116.205.141	443	TRUE	FRA	Europe	Frankfurt	270 ms	3669 kB/s
34.116.249.21	443	TRUE	FRA	Europe	Frankfurt	273 ms	3637 kB/s
34.154.195.87	443	TRUE	FRA	Europe	Frankfurt	252 ms	3579 kB/s
34.34.59.166	443	TRUE	FRA	Europe	Frankfurt	239 ms	3384 kB/s
34.154.193.1	443	TRUE	FRA	Europe	Frankfurt	253 ms	2591 kB/s
34.154.201.176	443	TRUE	FRA	Europe	Frankfurt	265 ms	2425 kB/s
35.198.133.80	443	TRUE	FRA	Europe	Frankfurt	246 ms	2397 kB/s
34.154.189.46	443	TRUE	FRA	Europe	Frankfurt	243 ms	2361 kB/s
34.65.204.207	443	TRUE	FRA	Europe	Frankfurt	246 ms	2342 kB/s
34.65.184.187	443	TRUE	FRA	Europe	Frankfurt	239 ms	2260 kB/s
34.154.168.164	443	TRUE	FRA	Europe	Frankfurt	245 ms	2206 kB/s
34.90.56.5	443	TRUE	FRA	Europe	Frankfurt	268 ms	2192 kB/s
34.147.39.146	443	TRUE	FRA	Europe	Frankfurt	270 ms	2185 kB/s
34.65.238.73	443	TRUE	FRA	Europe	Frankfurt	265 ms	2150 kB/s
34.154.23.240	443	TRUE	FRA	Europe	Frankfurt	246 ms	2143 kB/s
34.147.118.212	443	TRUE	FRA	Europe	Frankfurt	248 ms	2095 kB/s
34.154.243.67	443	TRUE	FRA	Europe	Frankfurt	243 ms	2047 kB/s
34.90.21.1	443	TRUE	FRA	Europe	Frankfurt	241 ms	2028 kB/s
34.107.35.81	443	TRUE	FRA	Europe	Frankfurt	263 ms	1987 kB/s
34.159.49.76	443	TRUE	FRA	Europe	Frankfurt	256 ms	1983 kB/s
34.116.159.183	443	TRUE	FRA	Europe	Frankfurt	258 ms	1973 kB/s
34.154.21.152	443	TRUE	FRA	Europe	Frankfurt	241 ms	1967 kB/s
35.204.137.100	443	TRUE	FRA	Europe	Frankfurt	257 ms	1960 kB/s
34.159.5.116	443	TRUE	FRA	Europe	Frankfurt	256 ms	1958 kB/s
34.107.32.69	443	TRUE	FRA	Europe	Frankfurt	244 ms	1919 kB/s
34.118.46.250	443	TRUE	FRA	Europe	Frankfurt	263 ms	1902 kB/s
34.154.172.31	443	TRUE	FRA	Europe	Frankfurt	265 ms	1900 kB/s
34.90.195.109	443	TRUE	FRA	Europe	Frankfurt	257 ms	1894 kB/s
34.154.126.198	443	TRUE	FRA	Europe	Frankfurt	251 ms	1873 kB/s
34.154.37.0	443	TRUE	FRA	Europe	Frankfurt	259 ms	1866 kB/s
34.91.66.231	443	TRUE	FRA	Europe	Frankfurt	268 ms	1833 kB/s
34.154.69.52	443	TRUE	FRA	Europe	Frankfurt	257 ms	1826 kB/s
34.154.197.8	443	TRUE	FRA	Europe	Frankfurt	246 ms	1798 kB/s
34.89.238.145	443	TRUE	FRA	Europe	Frankfurt	232 ms	1790 kB/s
34.154.216.37	443	TRUE	FRA	Europe	Frankfurt	246 ms	1756 kB/s
34.65.229.117	443	TRUE	AMS	Europe	Amsterdam	256 ms	1743 kB/s
34.116.155.156	443	TRUE	FRA	Europe	Frankfurt	268 ms	1712 kB/s
34.118.71.179	443	TRUE	FRA	Europe	Frankfurt	255 ms	1708 kB/s
34.159.40.114	443	TRUE	FRA	Europe	Frankfurt	247 ms	1705 kB/s
34.159.25.164	443	TRUE	FRA	Europe	Frankfurt	241 ms	1692 kB/s
34.118.79.119	443	TRUE	FRA	Europe	Frankfurt	272 ms	1689 kB/s
34.65.174.114	443	TRUE	FRA	Europe	Frankfurt	249 ms	1686 kB/s
34.118.114.231	443	TRUE	FRA	Europe	Frankfurt	264 ms	1686 kB/s
34.118.51.1	443	TRUE	FRA	Europe	Frankfurt	255 ms	1683 kB/s
34.118.58.146	443	TRUE	FRA	Europe	Frankfurt	271 ms	1682 kB/s
34.118.29.160	443	TRUE	FRA	Europe	Frankfurt	278 ms	1667 kB/s
34.141.62.127	443	TRUE	FRA	Europe	Frankfurt	245 ms	1654 kB/s
35.198.112.191	443	TRUE	FRA	Europe	Frankfurt	244 ms	1643 kB/s
34.34.36.61	443	TRUE	FRA	Europe	Frankfurt	256 ms	1641 kB/s
34.91.134.236	443	TRUE	FRA	Europe	Frankfurt	266 ms	1628 kB/s
34.32.130.77	443	TRUE	FRA	Europe	Frankfurt	248 ms	1618 kB/s
34.91.218.58	443	TRUE	FRA	Europe	Frankfurt	258 ms	1618 kB/s
35.246.178.139	443	TRUE	FRA	Europe	Frankfurt	256 ms	1615 kB/s
34.118.100.37	443	TRUE	FRA	Europe	Frankfurt	277 ms	1612 kB/s
34.116.189.128	443	TRUE	FRA	Europe	Frankfurt	262 ms	1599 kB/s
34.107.85.111	443	TRUE	FRA	Europe	Frankfurt	253 ms	1590 kB/s
34.65.152.58	443	TRUE	FRA	Europe	Frankfurt	256 ms	1561 kB/s
34.118.73.59	443	TRUE	FRA	Europe	Frankfurt	266 ms	1561 kB/s
34.90.14.162	443	TRUE	FRA	Europe	Frankfurt	258 ms	1555 kB/s
34.116.191.111	443	TRUE	FRA	Europe	Frankfurt	261 ms	1550 kB/s
34.154.150.21	443	TRUE	FRA	Europe	Frankfurt	246 ms	1548 kB/s
34.65.92.52	443	TRUE	FRA	Europe	Frankfurt	250 ms	1545 kB/s
34.116.133.90	443	TRUE	FRA	Europe	Frankfurt	270 ms	1532 kB/s
34.116.190.169	443	TRUE	FRA	Europe	Frankfurt	267 ms	1532 kB/s
34.154.58.89	443	TRUE	FRA	Europe	Frankfurt	239 ms	1519 kB/s
34.154.223.40	443	TRUE	FRA	Europe	Frankfurt	240 ms	1516 kB/s
34.65.254.125	443	TRUE	FRA	Europe	Frankfurt	244 ms	1513 kB/s
34.154.114.64	443	TRUE	FRA	Europe	Frankfurt	235 ms	1510 kB/s
34.154.134.249	443	TRUE	FRA	Europe	Frankfurt	229 ms	1507 kB/s
34.118.16.200	443	TRUE	FRA	Europe	Frankfurt	254 ms	1498 kB/s
34.107.1.24	443	TRUE	FRA	Europe	Frankfurt	263 ms	1494 kB/s
34.116.140.46	443	TRUE	FRA	Europe	Frankfurt	284 ms	1494 kB/s
34.154.159.9	443	TRUE	FRA	Europe	Frankfurt	252 ms	1492 kB/s
34.32.151.133	443	TRUE	FRA	Europe	Frankfurt	248 ms	1487 kB/s
34.118.30.198	443	TRUE	FRA	Europe	Frankfurt	260 ms	1484 kB/s
34.118.112.88	443	TRUE	FRA	Europe	Frankfurt	270 ms	1451 kB/s
34.154.177.131	443	TRUE	FRA	Europe	Frankfurt	251 ms	1433 kB/s
34.118.112.163	443	TRUE	FRA	Europe	Frankfurt	273 ms	1433 kB/s
34.154.209.117	443	TRUE	FRA	Europe	Frankfurt	271 ms	1420 kB/s
34.116.212.119	443	TRUE	FRA	Europe	Frankfurt	268 ms	1417 kB/s
34.118.25.79	443	TRUE	FRA	Europe	Frankfurt	274 ms	1416 kB/s
34.116.238.7	443	TRUE	FRA	Europe	Frankfurt	260 ms	1414 kB/s
34.159.127.233	443	TRUE	FRA	Europe	Frankfurt	249 ms	1398 kB/s
34.116.128.178	443	TRUE	FRA	Europe	Frankfurt	263 ms	1395 kB/s
34.154.50.5	443	TRUE	FRA	Europe	Frankfurt	243 ms	1391 kB/s
34.65.215.201	443	TRUE	FRA	Europe	Frankfurt	246 ms	1377 kB/s
34.118.117.7	443	TRUE	FRA	Europe	Frankfurt	267 ms	1371 kB/s
34.107.40.171	443	TRUE	FRA	Europe	Frankfurt	257 ms	1344 kB/s
34.154.129.233	443	TRUE	FRA	Europe	Frankfurt	249 ms	1344 kB/s
34.116.202.205	443	TRUE	FRA	Europe	Frankfurt	251 ms	1334 kB/s
34.116.161.110	443	TRUE	FRA	Europe	Frankfurt	255 ms	1331 kB/s
34.34.46.120	443	TRUE	FRA	Europe	Frankfurt	262 ms	1315 kB/s
34.159.33.181	443	TRUE	FRA	Europe	Frankfurt	234 ms	1298 kB/s
34.34.64.251	443	TRUE	FRA	Europe	Frankfurt	275 ms	1286 kB/s
35.198.72.47	443	TRUE	FRA	Europe	Frankfurt	257 ms	1281 kB/s
34.118.13.155	443	TRUE	FRA	Europe	Frankfurt	267 ms	1235 kB/s
34.118.93.116	443	TRUE	FRA	Europe	Frankfurt	267 ms	1235 kB/s
34.118.109.211	443	TRUE	FRA	Europe	Frankfurt	260 ms	1228 kB/s
34.34.43.14	443	TRUE	FRA	Europe	Frankfurt	247 ms	1208 kB/s
34.154.79.210	443	TRUE	FRA	Europe	Frankfurt	256 ms	1199 kB/s
34.116.233.114	443	TRUE	FRA	Europe	Frankfurt	269 ms	1198 kB/s
34.116.231.238	443	TRUE	FRA	Europe	Frankfurt	256 ms	1177 kB/s
35.204.96.241	443	TRUE	FRA	Europe	Frankfurt	262 ms	1164 kB/s
34.154.228.76	443	TRUE	FRA	Europe	Frankfurt	252 ms	1151 kB/s
34.116.176.79	443	TRUE	FRA	Europe	Frankfurt	272 ms	1149 kB/s
34.118.47.106	443	TRUE	FRA	Europe	Frankfurt	270 ms	1138 kB/s
34.107.74.124	443	TRUE	FRA	Europe	Frankfurt	251 ms	1116 kB/s
34.118.18.167	443	TRUE	FRA	Europe	Frankfurt	263 ms	1111 kB/s
35.234.109.216	443	TRUE	FRA	Europe	Frankfurt	251 ms	1081 kB/s
35.204.246.46	443	TRUE	FRA	Europe	Frankfurt	239 ms	1076 kB/s
34.118.16.81	443	TRUE	FRA	Europe	Frankfurt	272 ms	1072 kB/s
34.116.152.212	443	TRUE	FRA	Europe	Frankfurt	262 ms	1057 kB/s
34.89.141.69	443	TRUE	FRA	Europe	Frankfurt	261 ms	1056 kB/s
34.154.8.174	443	TRUE	FRA	Europe	Frankfurt	245 ms	1052 kB/s
34.118.69.177	443	TRUE	FRA	Europe	Frankfurt	250 ms	1043 kB/s
34.116.131.175	443	TRUE	FRA	Europe	Frankfurt	265 ms	1036 kB/s
34.116.137.135	443	TRUE	FRA	Europe	Frankfurt	276 ms	1003 kB/s
34.118.56.193	443	TRUE	FRA	Europe	Frankfurt	270 ms	991 kB/s
34.116.148.216	443	TRUE	FRA	Europe	Frankfurt	258 ms	979 kB/s
35.234.68.60	443	TRUE	AMS	Europe	Amsterdam	253 ms	969 kB/s
34.118.64.39	443	TRUE	FRA	Europe	Frankfurt	260 ms	963 kB/s
